	PWM100													PWM 127
0	0	0	767	0	0	0	0	0	0	0	0			0
50	17	0	766	0	0	12	0	0	0	8	255			35
100	53	0	765	0	0	44	0	0	0	26	18			35
150	53	0	766	0	0	84	0	0	0	26	17			53
200	53	0	765	0	0	128	0	0	0	26	17			71
250	53	0	765	0	0	174	0	0	0	26	17			71
300	71	0	766	0	0	222	0	0	0	35	16			71
350	71	0	766	0	0	269	0	0	0	35	16			53
400	71	0	766	0	0	317	0	0	0	35	17			71
450	71	0	766	0	0	365	0	0	0	35	17			71
500	71	0	766	0	0	413	0	0	0	35	16			71
550	53	0	766	0	0	461	0	0	0	26	21			71
600	53	0	766	0	0	510	0	0	0	26	16			71
650	71	0	765	0	0	558	0	0	0	35	20			53
700	71	0	764	0	0	606	0	0	0	35	20			71
750	71	0	762	0	0	654	0	0	0	35	20			71
800	71	0	763	0	0	702	0	0	0	35	20			71
850	71	0	764	0	0	750	0	0	0	35	21			71
900	71	0	764	0	0	798	0	0	0	35	21			71
950	71	0	763	0	0	846	0	0	0	35	21			71
1000	71	0	764	0	0	894	0	0	0	35	21			71
1050	71	0	764	0	0	942	0	0	0	35	17			53
1100	71	0	763	0	0	990	0	0	0	35	17			71
1150	71	0	764	0	0	1038	0	0	0	35	21			71
1200	71	0	763	0	0	1087	0	0	0	35	21			71
1250	71	0	764	0	0	1134	0	0	0	35	21			71
1300	53	0	764	0	0	1183	0	0	0	26	21			71
1350	71	0	764	0	0	1231	0	0	0	35	21			71
1400	71	0	766	0	0	1279	0	0	0	35	17			71
1450	71	0	768	0	0	1327	0	0	0	35	16			71
1500	71	0	769	0	0	1375	0	0	0	35	21			71
1550	71	0	769	0	0	1423	0	0	0	35	21			71
1600	71	0	766	0	0	1471	0	0	0	35	20			71
1650	71	0	762	0	0	1519	0	0	0	35	17			53
1700	53	0	761	0	0	1568	0	0	0	26	20			53
1750	71	0	761	0	0	1615	0	0	0	35	17			71
1800	71	0	761	0	0	1664	0	0	0	35	17			71
1850	71	0	761	0	0	1712	0	0	0	35	17			71
1900	71	0	761	0	0	1760	0	0	0	35	16			71
1950	71	0	761	0	0	1808	0	0	0	35	16			53
2000	71	0	761	0	0	1856	0	0	0	35	16			71
2050	71	0	761	0	0	1904	0	0	0	35	16			71
2100	71	0	761	0	0	1952	0	0	0	35	16			71
2150	71	0	761	0	0	2000	0	0	0	35	16			71
2200	71	0	761	0	0	2048	0	0	0	35	15			71
2250	71	0	761	0	0	2096	0	0	0	35	16			71
2300	71	0	761	0	0	2144	0	0	0	35	16			71
2350	53	0	761	0	0	2192	0	0	0	26	16			71
2400	53	0	760	0	0	2241	0	0	0	26	16			71
2450	71	0	761	0	0	2289	0	0	0	35	16			53
2500	71	0	760	0	0	2337	0	0	0	35	16			71
2550	71	0	760	0	0	2385	0	0	0	35	16			71
2600	71	0	760	0	0	2433	0	0	0	35	16			71
2650	71	0	761	0	0	2481	0	0	0	35	16			71
2700	71	0	760	0	0	2530	0	0	0	35	16			71
2750	71	0	760	0	0	2577	0	0	0	35	16			71
2800	71	0	760	0	0	2626	0	0	0	35	16			71
2850	53	0	760	0	0	2673	0	0	0	26	16			71
2900	71	0	760	0	0	2722	0	0	0	35	16			71
2950	53	0	760	0	0	2770	0	0	0	26	16			71
3000	71	0	760	0	0	2818	0	0	0	35	16			71
3050	71	0	760	0	0	2866	0	0	0	35	16			71
3100	71	0	760	0	0	2914	0	0	0	35	17			71
3150	71	0	760	0	0	2962	0	0	0	35	16			53
3200	71	0	761	0	0	3010	0	0	0	35	16			71
3250	71	0	760	0	0	3058	0	0	0	35	16			71
3300	71	0	760	0	0	3106	0	0	0	35	16			71
3350	71	0	760	0	0	3154	0	0	0	35	16			71
3400	71	0	760	0	0	3202	0	0	0	35	16			71
3450	71	0	760	0	0	3250	0	0	0	35	16			71
3500	71	0	760	0	0	3298	0	0	0	35	16			71
3550	71	0	760	0	0	3346	0	0	0	35	16			71
3600	71	0	760	0	0	3395	0	0	0	35	16			71
3650	71	0	760	0	0	3443	0	0	0	35	16			71
3700	71	0	760	0	0	3491	0	0	0	35	16			71
3750	71	0	760	0	0	3539	0	0	0	35	16			71
3800	71	0	760	0	0	3588	0	0	0	35	16			71
3850	53	0	760	0	0	3635	0	0	0	26	16			71
3900	71	0	761	0	0	3684	0	0	0	35	16			71
3950	71	0	760	0	0	3732	0	0	0	35	16			71
4000	71	0	761	0	0	3780	0	0	0	35	16			71
4050	71	0	760	0	0	3828	0	0	0	35	16			71
4100	71	0	760	0	0	3876	0	0	0	35	16			71
4150	71	0	760	0	0	3924	0	0	0	35	16			71
4200	53	0	760	0	0	3973	0	0	0	26	16			53
4250	71	0	760	0	0	4021	0	0	0	35	16			53
4300	71	0	760	0	0	4070	0	0	0	35	16			89
4350	71	0	759	0	0	4118	0	0	0	35	16			71
4400	71	0	760	0	0	4166	0	0	0	35	16			71
4450	71	0	760	0	0	4214	0	0	0	35	16			71
4500	71	0	760	0	0	4262	0	0	0	35	16			71
4550	71	0	760	0	0	4310	0	0	0	35	16			71
4600	71	0	760	0	0	4359	0	0	0	35	16			71
4650	71	0	760	0	0	4406	0	0	0	35	16			71
4700	53	0	759	0	0	4455	0	0	0	26	16			53
4750	71	0	759	0	0	4503	0	0	0	35	16			71
4800	71	0	759	0	0	4552	0	0	0	35	16			71
4850	53	0	759	0	0	4599	0	0	0	26	16			71
4900	53	0	759	0	0	4648	0	0	0	26	16			71
4950	71	0	759	0	0	4696	0	0	0	35	16			71
5000	71	0	760	0	0	4744	0	0	0	35	16			71
5050	71	0	759	0	0	4792	0	0	0	35	16			71
5100	71	0	759	0	0	4841	0	0	0	35	16			71
5150	71	0	760	0	0	4888	0	0	0	35	16			71
5200	89	0	760	0	0	4937	0	0	0	44	16			71
5250	71	0	759	0	0	4985	0	0	0	35	16			71
5300	71	0	759	0	0	5033	0	0	0	35	16			71
5350	71	0	759	0	0	5081	0	0	0	35	16			71
5400	71	0	759	0	0	5130	0	0	0	35	16			71
5450	53	0	759	0	0	5178	0	0	0	26	16			71
5500	71	0	759	0	0	5226	0	0	0	35	16			71
5550	71	0	759	0	0	5274	0	0	0	35	16			71
5600	71	0	759	0	0	5322	0	0	0	35	16			53
5650	71	0	759	0	0	5370	0	0	0	35	16			71
5700	71	0	759	0	0	5418	0	0	0	35	16			71
5750	71	0	759	0	0	5466	0	0	0	35	16			71
5800	71	0	758	0	0	5515	0	0	0	35	16			71
5850	71	0	757	0	0	5562	0	0	0	35	16			71
5900	53	0	757	0	0	5611	0	0	0	26	16			71
5950	71	0	757	0	0	5658	0	0	0	35	16			71
6000	53	0	757	0	0	5707	0	0	0	26	16			71
6050	71	0	757	0	0	5755	0	0	0	35	16			71
6100	71	0	758	0	0	5803	0	0	0	35	16			71
6150	71	0	760	0	0	5851	0	0	0	35	16			71
6200	71	0	762	0	0	5900	0	0	0	35	16			71
6250	71	0	763	0	0	5948	0	0	0	35	16			71
6300	71	0	762	0	0	5996	0	0	0	35	16			71
6350	71	0	760	0	0	6044	0	0	0	35	17			71
6400	71	0	757	0	0	6092	0	0	0	35	16			71
6450	71	0	757	0	0	6140	0	0	0	35	17			71
6500	71	0	756	0	0	6188	0	0	0	35	17			53
6550	71	0	756	0	0	6236	0	0	0	35	17			53
6600	71	0	756	0	0	6285	0	0	0	35	17			53
6650	53	0	756	0	0	6332	0	0	0	26	17			53
6700	53	0	757	0	0	6381	0	0	0	26	21			71
6750	71	0	758	0	0	6429	0	0	0	35	21			71
6800	71	0	758	0	0	6477	0	0	0	35	21			71
6850	53	0	758	0	0	6525	0	0	0	26	21			71
6900	53	0	759	0	0	6574	0	0	0	26	21			71
6950	71	0	758	0	0	6622	0	0	0	35	21			71
7000	71	0	758	0	0	6670	0	0	0	35	21			53
7050	71	0	759	0	0	6718	0	0	0	35	21			53
7100	71	0	760	0	0	6766	0	0	0	35	21			71
7150	71	0	761	0	0	6814	0	0	0	35	21			71
7200	71	0	763	0	0	6862	0	0	0	35	21			71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														53
														53
														53
														71
														71
														71
														71
														71
														71
														71
														71
														53
														71
														53
														71
														71
														71
														53
														71
														71
														71
														71
														71
														53
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														53
														71
														53
														53
														53
														71
														71
														53
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														53
														53
														53
														53
														71
														71
														71
														71
														71
														71
														53
														35
														35
														35
														53
														53
														53
														53
														71
														71
														71
														53
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
														71
